experiment_id,date,config,change,reason,local_score,public_score,rank,submission_file,insight
local_retrieval_v1,2026-06-02,configs/local_retrieval.yaml,TF-IDF char n-gram nearest-answer retrieval,Establishes a complete local CPU baseline and valid submission workflow,0.425158,,,outputs/local_retrieval/submission.csv,Full local run completed without GPU; use as reproducible baseline before neural experiments
neural_rerank_minilm_group_weights_v1,2026-06-03,configs/local_retrieval_neural_rerank.yaml,Per-subset semantic rerank weights for TF-IDF top-10 candidates,Adapt neural rerank strength by validation subset instead of using one global weight,0.471536,,,outputs/local_retrieval_neural_rerank/submission.csv,New best local candidate; English Kenya favored pure MiniLM among candidates while Swahili favored lexical-only ranking
neural_rerank_mpnet_group_weights_v1,2026-06-03,configs/local_retrieval_mpnet_rerank.yaml,MPNet multilingual embedding reranker with per-subset semantic weights,Test whether a stronger multilingual sentence encoder improves TF-IDF top-10 reranking,0.478162,,,outputs/local_retrieval_mpnet_rerank/submission.csv,New best local candidate; MPNet improved English Uganda Swahili and Luganda reranking over MiniLM
neural_rerank_mpnet_scoped_candidates_v1,2026-06-03,configs/local_retrieval_mpnet_scoped.yaml,Restrict weak-language rerank candidates to matching subset,Test whether cross-language/global retrieval errors explain weak Akan Amharic and English Ghana validation scores,0.477341,,,outputs/local_retrieval_mpnet_scoped/submission.csv,Same-subset routing slightly helped Amharic but hurt Akan and English Ghana; keep global answer bank for the best candidate
neural_rerank_mpnet_dynamic_sweep_v1,2026-06-03,configs/local_retrieval_mpnet_rerank.yaml,Dynamic per-subset sweep over MPNet top-k and semantic blend weights,Tune rerank hyperparameters from validation results instead of using fixed global settings,0.478231,,,outputs/local_retrieval_mpnet_rerank/submission.csv,Small validation gain came from increasing English Ghana semantic weight to 0.6; weak Amharic and Akan need a stronger retrieval or generation strategy
neural_rerank_e5_v1,2026-06-03,configs/local_retrieval_e5_rerank.yaml,E5 multilingual embedding reranker with query and passage prefixes,Test whether E5 embeddings improve low-resource semantic reranking over MPNet,0.476669,,,outputs/local_retrieval_e5_rerank/submission.csv,E5 underperformed overall but improved English Kenya and Swahili Kenya; use it selectively rather than globally
subset_model_blend_mpnet_e5_v1,2026-06-03,configs/local_retrieval_e5_rerank.yaml,Subset-level blend using MPNet base predictions and E5 overrides for English Kenya and Swahili Kenya,Exploit validation evidence that different encoders win on different language subsets,0.480106,,,outputs/local_retrieval_mpnet_e5_blend/submission.csv,New best local candidate; dynamic model selection by subset improved English Kenya to 0.740854 and Swahili Kenya to 0.643527
subset_trimmed_blend_v1,2026-06-03,configs/local_retrieval_e5_rerank.yaml,Subset-specific max-word postprocessing on the MPNet plus E5 blend,Reduce overly long retrieved answers only where validation shows ROUGE gains,0.480585,,,outputs/local_retrieval_mpnet_e5_blend_trimmed/submission.csv,New best local candidate; trimming Akan and English Ghana to 120 words and English Ethiopia to 60 words improved validation without changing other subsets
afriteva_weak_lora_stable_cpu_v1,2026-06-03,configs/afriteva_weak_lora_stable.yaml,AfriTeVa base LoRA fine-tuning on Akan Ghana Amharic Ethiopia and English Ghana weak subsets,Test whether a multilingual African transformer generator can beat retrieval on weak low-resource subsets,0.161477,,,outputs/afriteva_weak_lora_stable_cpu_fast_predict/submission.csv,Training converged to eval_loss 4.101 but generated answers underperformed retrieval on every targeted subset; do not merge and continue with retrieval/reranking improvements
neural_rerank_mpnet_union_candidates_v1,2026-06-03,configs/local_retrieval_mpnet_union_rerank.yaml,MPNet reranker over a union of five TF-IDF candidate generators,Improve candidate recall before semantic reranking by combining tuned char and char_wb vectorizer views,0.477637,,,outputs/local_retrieval_mpnet_union_rerank/submission.csv,Union-only run underperformed the current best but improved English Ghana English Kenya and English Uganda; use only those subset overrides
subset_blend_mpnet_e5_union_trimmed_v1,2026-06-03,configs/local_retrieval_mpnet_union_rerank.yaml,Selective blend of trimmed MPNet+E5 baseline with MPNet union overrides for English Ghana Kenya and Uganda,Exploit subset-level validation gains from the union reranker while preserving stronger existing predictions elsewhere,0.483254,,,outputs/local_retrieval_mpnet_e5_union_blend_trimmed/submission.csv,New best local candidate; selective override improved weighted ROUGE from 0.480585 to 0.483254 with valid 2618-row submission
neural_rerank_mpnet_union_wide_candidates_v1,2026-06-03,configs/local_retrieval_mpnet_union_rerank.yaml --top-k-per-generator 20 --max-candidates 80,MPNet reranker over a wider union of five TF-IDF candidate generators,Test whether a larger candidate pool improves the same positive override subsets,0.479458,,,outputs/local_retrieval_mpnet_union_rerank_wide/submission.csv,Wide union remained below the current full blend but further improved English Ghana English Kenya and English Uganda versus the narrow union
subset_blend_mpnet_e5_union_wide_trimmed_v1,2026-06-03,configs/local_retrieval_mpnet_union_rerank.yaml --top-k-per-generator 20 --max-candidates 80,Selective blend of trimmed MPNet+E5 baseline with wide MPNet union overrides for English Ghana Kenya and Uganda,Use wider union only where validation improved while preserving all stronger baseline subsets,0.485417,,,outputs/local_retrieval_mpnet_e5_union_wide_blend_trimmed/submission.csv,New best local candidate; wider override improved weighted ROUGE from 0.483254 to 0.485417 with valid 2618-row submission
neural_rerank_mpnet_union_xwide_candidates_v1,2026-06-03,configs/local_retrieval_mpnet_union_rerank.yaml --top-k-per-generator 30 --max-candidates 120,MPNet reranker over an extra-wide union of five TF-IDF candidate generators,Check whether expanding the rerank pool still helps positive English subsets or starts overfitting,0.482248,,,outputs/local_retrieval_mpnet_union_rerank_xwide/submission.csv,Extra-wide union remained below the full blend but improved English Ghana English Kenya and English Uganda again
subset_blend_mpnet_e5_union_xwide_trimmed_v1,2026-06-03,configs/local_retrieval_mpnet_union_rerank.yaml --top-k-per-generator 30 --max-candidates 120,Selective blend of trimmed MPNet+E5 baseline with extra-wide MPNet union overrides for English Ghana Kenya and Uganda,Use extra-wide union only on subsets with validation gains while preserving stronger baseline predictions elsewhere,0.488295,,,outputs/local_retrieval_mpnet_e5_union_xwide_blend_trimmed/submission.csv,New best local candidate; extra-wide overrides improved weighted ROUGE from 0.485417 to 0.488295 with valid 2618-row submission
neural_rerank_mpnet_union_xxwide_candidates_v1,2026-06-03,configs/local_retrieval_mpnet_union_rerank.yaml --top-k-per-generator 50 --max-candidates 200,MPNet reranker over a very wide union of five TF-IDF candidate generators,Test whether English override subsets keep benefiting from a larger rerank pool,0.482938,,,outputs/local_retrieval_mpnet_union_rerank_xxwide/submission.csv,Very-wide union remained globally below the full blend but improved English Ghana English Kenya and English Uganda versus 30/120
subset_blend_mpnet_e5_union_xxwide_trimmed_v1,2026-06-03,configs/local_retrieval_mpnet_union_rerank.yaml --top-k-per-generator 50 --max-candidates 200,Selective blend of trimmed MPNet+E5 baseline with very-wide MPNet union overrides for English Ghana Kenya and Uganda,Keep widening only on subsets with validation gains while preserving stronger baseline predictions elsewhere,0.488972,,,outputs/local_retrieval_mpnet_e5_union_xxwide_blend_trimmed/submission.csv,New best local candidate; very-wide overrides improved weighted ROUGE from 0.488295 to 0.488972 with valid 2618-row submission
hybrid_input_weak_subsets_v1,2026-06-03,scripts/hybrid_input_predictions.py --rules Aka_Gha:input_pred:120 Amh_Eth:input_pred:none Eng_Gha:input_pred:80,Subset-specific input plus retrieval hybrid on weak Akan Amharic and English Ghana rows,Recover reference overlap for generated weak-language answers where the source question contains important target terms missing from retrieval output,0.507159,,,outputs/local_retrieval_mpnet_e5_union_xxwide_hybrid_weak/submission.csv,New best local candidate; hybrid raised Akan to 0.357040 Amharic to 0.048874 and English Ghana to 0.334456 while preserving all strong subset predictions
hybrid_input_weak_subsets_conditional_v1,2026-06-03,scripts/hybrid_input_predictions.py --rules Aka_Gha:input_pred:120 Amh_Eth:input_pred:none:pred_words<=29 Eng_Gha:input_pred:80,Conditional weak-subset input plus retrieval hybrid with Amharic routed by prediction length,Keep the input hybrid for weak rows but avoid Amharic cases where long retrieved answers validate better than the hybrid,0.507209,,,outputs/local_retrieval_mpnet_e5_union_xxwide_hybrid_weak_conditional/submission.csv,New best local candidate; small gain from applying Amharic hybrid only when base prediction has at most 29 words
hybrid_input_weak_subsets_parts_v1,2026-06-04,scripts/hybrid_input_predictions.py --rules Aka_Gha:input_pred:120+80 Amh_Eth:input_pred:none:pred_words<=29 Eng_Gha:input_pred:80,Separate source and retrieval caps for weak-subset input hybrids,Test whether trimming only the retrieved answer portion preserves useful Akan source terms while reducing noisy appended text,0.507316,,,outputs/local_retrieval_mpnet_e5_union_xxwide_hybrid_parts/submission.csv,New best local candidate; separate Akan caps improved weighted ROUGE from 0.507209 to 0.507316 with valid 2618-row submission
hybrid_input_weak_subsets_parts_eng70_v1,2026-06-04,scripts/hybrid_input_predictions.py --rules Aka_Gha:input_pred:120+80 Amh_Eth:input_pred:none:pred_words<=29 Eng_Gha:input_pred:70,Staged weak-subset cap sweep with English Ghana total cap reduced to 70 words,Use subset-only validation sweeps to dynamically update caps after the split-cap improvement,0.507466,,,outputs/local_retrieval_mpnet_e5_union_xxwide_hybrid_parts_eng70/submission.csv,New best local candidate; English Ghana cap 70 improved full weighted ROUGE from 0.507316 to 0.507466 with valid 2618-row submission
candidate_selector_v1,2026-06-04,scripts/train_candidate_selector.py --folds 5,Cross-validated gradient-boosted row-level selector over saved retrieval and hybrid candidates,Test whether validation labels can learn when to choose source hybrids versus retrieval candidates without slow generation,0.493932,,,outputs/candidate_selector_v1/submission.csv,Selector underperformed the deterministic subset/hybrid routing; keep current best and use this as evidence that existing candidate pool needs stronger candidates rather than a learned selector
answer_side_retrieval_sweep_v1,2026-06-04,outputs/answer_side_retrieval_sweep.csv,TF-IDF retrieval against answer text and question-plus-answer text banks,Test whether matching questions directly to candidate answer text adds useful recall beyond question-to-question retrieval,0.360358,,,outputs/local_retrieval_mpnet_e5_union_xxwide_hybrid_parts_eng70/submission.csv,Answer-side retrieval underperformed current best on every subset; do not add it to the candidate pool
llama32_eng_gha_rewrite_probe_40_v1,2026-06-04,scripts/run_ollama_candidates.py --mode rewrite --model llama3.2:3b --subsets Eng_Gha --limit-per-subset 40,Local Ollama rewrite of current best English Ghana predictions with boilerplate cleanup,Check whether Llama can improve fluent English Ghana answers without full fine-tuning,0.507196,,,outputs/llama32_eng_gha_rewrite_probe_40/submission.csv,Probe reduced generated-row score from 0.331057 to 0.285883 and produced a refusal on one health-education row; do not scale this prompt
conditional_hybrid_plus_v1,2026-06-04,scripts/hybrid_input_predictions.py --rules Aka_Gha:input_only:100:input_words>80 Eng_Gha:input_pred:40+40:pred_words<=24 Eng_Eth:input_only:30:pred_words>50,Fast conditional sweep over source-answer hybrids on high-impact subsets,Use prior experiment outcomes to apply source text only where validation length patterns show positive ROUGE deltas,0.507601,,,outputs/local_retrieval_mpnet_e5_union_xxwide_hybrid_conditional_plus/submission.csv,New best local candidate; 45 validation rows and 8 test rows changed with valid submission while preserving strong subset predictions
qwen3_4b_rewrite_probe_v1,2026-06-04,ollama qwen3:4b rewrite probe on 5 English Ghana rows,Downloaded and tested a stronger local instruction model with larger token budget,Check whether Qwen can provide a higher-quality local generative candidate than Llama or Aya,0.054545,,,outputs/local_retrieval_mpnet_e5_union_xxwide_hybrid_conditional_plus/submission.csv,Qwen spent output budget on reasoning or returned empty responses on most rows; do not scale locally without a reliable no-thinking mode
zindi_public_submission_v1,2026-06-05,submissions/zindi_submission_conditional_hybrid_plus_0_507600.csv,Submitted current best conditional hybrid to Zindi public leaderboard,Use public leaderboard feedback to recalibrate local validation expectations,0.507601,0.602576,96,submissions/zindi_submission_conditional_hybrid_plus_0_507600.csv,Public score is substantially higher than local validation; continue with controlled public-heavy probes rather than only local-score maximization
public_probe_akan_broader_eng80_v1,2026-06-05,scripts/hybrid_input_predictions.py --rules Aka_Gha:input_pred:none+80 Amh_Eth:input_pred:none:pred_words<=29 Eng_Gha:input_pred:80,Broader Akan source cap with English Ghana cap 80 for public leaderboard probing,Test whether public hidden rows reward less aggressive Akan source trimming despite a slight local validation drop,0.507316,0.601786,,submissions/zindi_probe_akan_broader_eng80_local_0_507316.csv,Rejected public probe; changes 403 test rows versus current public baseline and dropped public score by 0.000790 from 0.602576
public_probe_akan_broader_eng60_v1,2026-06-05,scripts/hybrid_input_predictions.py --rules Aka_Gha:input_pred:none+80 Amh_Eth:input_pred:none:pred_words<=29 Eng_Gha:input_pred:60,Broader Akan source cap with shorter English Ghana cap 60 for public leaderboard probing,Test public sensitivity to English Ghana answer length while keeping the broader Akan strategy,0.507306,,,submissions/zindi_probe_akan_broader_eng60_local_0_507306.csv,Valid controlled probe; changes 452 test rows versus current public baseline
aya8b_translation_retrieval_aka_smoke_v1,2026-06-05,scripts/nllb_translate_candidates.py --translator ollama --ollama-model aya:8b --subsets Aka_Gha --limit-per-subset 3,Retrieved English answers translated locally with Aya for Akan smoke testing,Check whether translation-backed candidates can provide a stronger source than retrieval hybrids,0.507452,,,outputs/aya8b_translate_retrieval_aka_smoke_3/validation_predictions.csv,Rejected; changed-row score fell from 0.376219 baseline to 0.045143 due repetitive degenerate Akan output
aya8b_translation_retrieval_amh_smoke_v1,2026-06-05,scripts/nllb_translate_candidates.py --translator ollama --ollama-model aya:8b --subsets Amh_Eth --limit-per-subset 3,Retrieved English answers translated locally with Aya for Amharic smoke testing,Check whether Aya handles Amharic better than Akan for translation-backed candidates,0.507601,,,outputs/aya8b_translate_retrieval_amh_smoke_3/validation_predictions.csv,Rejected; changed-row score stayed 0.000000 and generated text included Somali-like or repetitive fragments
nllb_translation_download_blocked_v1,2026-06-05,hf download facebook/nllb-200-distilled-600M,Attempted to download NLLB for local translation-backed retrieval,Use a dedicated translation model for Akan and Amharic instead of general Ollama generation,,,,,Blocked; Hugging Face transfer repeatedly stalled or reset on the large model weight file before a validation probe could run
nllb_translation_query_amh_full_v1,2026-06-05,scripts/nllb_translate_candidates.py --model-name models/nllb-200-distilled-600M --translate-query --baseline-dir outputs/local_retrieval_mpnet_e5_union_xxwide_hybrid_conditional_plus --output-dir outputs/nllb_translation_query_amh_full --subsets Amh_Eth --batch-size 8 --local-files-only,NLLB translates Amharic questions to English for retrieval and translates matched English answers back to Amharic,Test whether a dedicated translation model improves weak Amharic rows enough to help ROUGE and possibly LLM public score,0.508147,,,submissions/zindi_submission_nllb_amh_query_0_508147.csv,New local best by a small margin; changed all 462 Amharic validation rows and improved changed-row score from 0.049596 to 0.057504 while affecting only 61 test rows
hybrid_rule_sweep_nllb_aka_enggha_v1,2026-06-05,scripts/sweep_hybrid_rules.py --predictions-path outputs/nllb_translation_query_amh_full/validation_predictions.csv --output-path outputs/hybrid_rule_sweep_nllb_aka_enggha/results.csv --subsets Aka_Gha Eng_Gha,Dynamic conditional sweep for source/prediction ordering and word caps on the largest weak subsets,Use cached validation row scores to tune hybrid hyperparameters from previous experiment results instead of hand-picking caps,0.508261,,,submissions/zindi_submission_nllb_amh_hybrid_rules_0_508261.csv,New local best; applied Aka_Gha pred_input 80+80 when pred_words>120 and Eng_Gha input_pred 50+50 when input_words>30 changing 212 validation rows and improving changed-row score from 0.440062 to 0.443656
zindi_public_submission_nllb_hybrid_rejected_v1,2026-06-05,submissions/zindi_submission_nllb_amh_hybrid_rules_0_508261.csv,Submitted NLLB Amharic plus dynamic Akan/English Ghana hybrid-rule candidate to public leaderboard,Test whether the small local validation gain transfers to public ROUGE/LLM scoring,0.508261,0.600599,,submissions/zindi_submission_nllb_amh_hybrid_rules_0_508261.csv,Rejected; public score dropped by 0.001977 versus the 0.602576 baseline, so local validation gains from Amharic translation and these hybrid rules do not generalize to the public split
candidate_reranker_top80_cv_v1,2026-06-05,scripts/train_candidate_reranker.py --top-k-per-generator 30 --max-candidates 80 --folds 5,Learned candidate-level reranker over union retrieval candidates with cross-validated row groups,Test whether the high top-200 oracle ceiling can be approached by learned selection instead of generation,0.486820,,,outputs/candidate_reranker_top80_v1/submission.csv,Rejected as a global model; it underperformed the hybrid public baseline overall but improved Eng_Uga and Eng_Eth subset CV scores
candidate_reranker_enguga_probe_v1,2026-06-05,scripts/merge_subset_predictions.py --override-dir outputs/candidate_reranker_top80_v1 --override-subsets Eng_Uga,Selective blend of public baseline with learned reranker only for English Uganda,Use subset CV evidence from the global reranker while avoiding weak-subset regressions,0.512600,,,submissions/zindi_probe_reranker_enguga_local_0_512600.csv,Valid public probe candidate; changes 741 Eng_Uga test rows and improves local validation from 0.507601 to 0.512600
candidate_reranker_enguga_engeth_probe_v1,2026-06-05,scripts/merge_subset_predictions.py --override-dir outputs/candidate_reranker_top80_v1 --override-subsets Eng_Uga,Eng_Eth,Selective blend of public baseline with learned reranker for English Uganda and English Ethiopia,Test whether adding the smaller positive Eng_Eth CV signal improves beyond the safer Eng_Uga-only probe,0.514348,,,submissions/zindi_probe_reranker_enguga_engeth_local_0_514348.csv,Highest current local score; changes 800 test rows but should be submitted only after the Eng_Uga-only probe confirms public transfer
candidate_reranker_top200_cv_v1,2026-06-05,scripts/train_candidate_reranker.py --top-k-per-generator 50 --max-candidates 200 --folds 5,Learned candidate-level reranker over a top-200 union retrieval candidate pool,Test whether the larger oracle candidate pool improves the positive reranker subsets,0.487678,,,outputs/candidate_reranker_top200_v1/submission.csv,Rejected as a global model; it still underperformed overall but improved Eng_Uga to 0.728557 and Eng_Eth to 0.583513 versus the public baseline subset scores
candidate_reranker_top200_enguga_probe_v1,2026-06-05,scripts/merge_subset_predictions.py --override-dir outputs/candidate_reranker_top200_v1 --override-subsets Eng_Uga,Selective blend of public baseline with top-200 learned reranker only for English Uganda,Improve the safer public probe using the stronger top-200 Eng_Uga subset CV signal,0.513599,,,submissions/zindi_probe_reranker_top200_enguga_local_0_513599.csv,Valid public probe candidate; changes 741 Eng_Uga test rows and improves local validation beyond the top-80 Eng_Uga-only probe
candidate_reranker_top200_enguga_engeth_probe_v1,2026-06-05,scripts/merge_subset_predictions.py --override-dir outputs/candidate_reranker_top200_v1 --override-subsets Eng_Uga,Eng_Eth,Selective blend of public baseline with top-200 learned reranker for English Uganda and English Ethiopia,Test whether adding the smaller positive Eng_Eth top-200 CV signal improves beyond the safer Eng_Uga-only probe,0.514662,,,submissions/zindi_probe_reranker_top200_enguga_engeth_local_0_514662.csv,Highest current local score; changes 800 test rows but should be submitted only after the top-200 Eng_Uga-only probe confirms public transfer
candidate_reranker_top200_features_cv_v1,2026-06-05,scripts/train_candidate_reranker.py --top-k-per-generator 50 --max-candidates 200 --folds 5 with generator agreement and token overlap features,Feature-enhanced learned candidate reranker over the same top-200 union retrieval candidate pool,Improve candidate selection by adding generator-count best-generator mean-score and query/question/answer token-overlap features,0.496377,,,outputs/candidate_reranker_top200_features_v1/submission.csv,Rejected as a global model but improved every subset versus the prior reranker; Eng_Uga rose to 0.735793 and Eng_Eth rose to 0.600653
candidate_reranker_top200_features_enguga_probe_v1,2026-06-05,scripts/merge_subset_predictions.py --override-dir outputs/candidate_reranker_top200_features_v1 --override-subsets Eng_Uga,Selective blend of public baseline with feature-enhanced top-200 learned reranker only for English Uganda,Use the strongest safe Eng_Uga-only CV signal while avoiding weaker subset regressions,0.515426,,,submissions/zindi_probe_reranker_top200_features_enguga_local_0_515426.csv,Best safe public probe candidate so far; changes 741 Eng_Uga test rows and improves local validation from 0.507601 to 0.515426
candidate_reranker_top200_features_enguga_engeth_probe_v1,2026-06-05,scripts/merge_subset_predictions.py --override-dir outputs/candidate_reranker_top200_features_v1 --override-subsets Eng_Uga,Eng_Eth,Selective blend of public baseline with feature-enhanced top-200 learned reranker for English Uganda and English Ethiopia,Test whether adding the strong Eng_Eth feature-reranker CV signal improves beyond the safer Eng_Uga-only probe,0.517935,,,submissions/zindi_probe_reranker_top200_features_enguga_engeth_local_0_517935.csv,Highest current local score; changes 800 test rows but should be submitted only after the feature-enhanced Eng_Uga-only probe confirms public transfer
afrie5_dense_slice100_bank1600_v1,2026-06-11,configs/local_afrie5_bge_rerank.yaml --max-val-rows 100 --max-bank-rows 1600 --no-cross-encoder,AfriE5 dense retrieval over a stratified 1600-row answer bank for the first 100 validation rows,Smoke-test African-language dense retrieval locally before expensive full-bank or GPU reranking,0.282521,,,outputs/afrie5_slice100_bank1600_dense/validation_predictions.csv,Diagnostic only; produced real answer-bank outputs but underperformed the current public-best predictions on the same 100 rows which score 0.363488
afrie5_bge5_slice100_bank1600_v1,2026-06-11,configs/local_afrie5_bge_rerank.yaml --max-val-rows 100 --max-bank-rows 1600 --cross-encoder-top-k 5,AfriE5 candidate retrieval with BGE cross-encoder reranking over the top 5 candidates for the first 100 validation rows,Check whether true query-answer cross-encoder scoring improves the AfriE5 retrieval slice,0.298749,,,outputs/afrie5_slice100_bank1600_bge5/validation_predictions.csv,Diagnostic only; BGE improved the bounded AfriE5 slice from 0.282521 to 0.298749 but remains below the stable public-best slice baseline
